,Skrot,Nazwa,Druga,Sektor
54,BUDIMEX,BUDIMEX SPÓŁKA AKCYJNA,BDX (BUDIMEX),GPW: Budownictwo
55,ELEKTROCIEPLOWNIA-BEDZIN,ELEKTROCIEPŁOWNIA BĘDZIN SPÓŁKA AKCYJNA,BDZ (BEDZIN),GPW: Energetyka
56,BENEFIT-SYSTEMS,BENEFIT SYSTEMS SPÓŁKA AKCYJNA,BFT (BENEFIT),GPW: Usługi inne
57,BGZ-BNP-PARIBAS,BANK BGŻ BNP PARIBAS SPÓŁKA AKCYJNA,BGZ (BGZBNPP),GPW: Banki
58,BANK-HANDLOWY,BANK HANDLOWY W WARSZAWIE SPÓŁKA AKCYJNA,BHW (HANDLOWY),GPW: Banki
59,BIK,BIURO INWESTYCJI KAPITALOWYCH SPÓŁKA AKCYJNA,BIK,GPW: Deweloperzy
60,BIOTON,BIOTON SPÓŁKA AKCYJNA,BIO (BIOTON),GPW: Przemysł farmaceutyczny
61,BKM,POLSKI BANK KOMÓREK MACIERZYSTYCH SPÓŁKA AKCYJNA,BKM (PBKM),GPW: Usługi inne
62,BUMECH,BUMECH SPÓŁKA AKCYJNA,BMC (BUMECH),GPW: Przemysł elektromaszynowy
63,BIOMED-LUBLIN,BIOMED-LUBLIN WYTWÓRNIA SUROWIC I SZCZEPIONEK SPÓŁKA AKCYJNA W RESTRUKTURYZACJI,BML (BIOMEDLUB),GPW: Przemysł farmaceutyczny
64,BANK-OCHRONY-SRODOWISKA,BANK OCHRONY ŚRODOWISKA SPÓŁKA AKCYJNA,BOS,GPW: Banki
65,BOWIM,BOWIM SPÓŁKA AKCYJNA,BOW (BOWIM),GPW: Handel hurtowy
66,BRASTER,BRASTER SPÓŁKA AKCYJNA,BRA (BRASTER),GPW: Usługi inne
67,BERLING,BERLING SPÓŁKA AKCYJNA,BRG (BERLING),GPW: Handel hurtowy
68,BORYSZEW,BORYSZEW SPÓŁKA AKCYJNA,BRS (BORYSZEW),GPW: Przemysł metalowy
69,BSC-DRUKARNIA-OPAKOWAN,BSC DRUKARNIA OPAKOWAŃ SPÓŁKA AKCYJNA,BSC (BSCDRUK),GPW: Usługi inne
70,BEST,BEST SPÓŁKA AKCYJNA,BST (BEST),GPW: Finanse inne
71,BUWOG,BUWOG AG,BWO (BUWOG),GPW: Deweloperzy
72,INTER-CARS,INTER CARS SPÓŁKA AKCYJNA,CAR (INTERCARS),GPW: Przemysł motoryzacyjny
73,CCC,CCC SPÓŁKA AKCYJNA,CCC,GPW: Handel detaliczny
74,CLEAN-CARBON-ENERGY,CLEAN&amp;amp;CARBON ENERGY SPÓŁKA AKCYJNA,CCE (CCENERGY),GPW: Handel detaliczny
75,CDL,CDRL SPÓŁKA AKCYJNA,CDL (CDRL),GPW: Handel detaliczny
76,CD-PROJEKT,CD PROJEKT SPÓŁKA AKCYJNA,CDR (CDPROJEKT),GPW: Informatyka
77,CEZ,ČEZ. A.S.,CEZ,GPW: Energetyka
78,CFI-HOLDING,CFI HOLDING SPÓŁKA AKCYJNA,CFI,GPW: Budownictwo
79,CHEMOSERVIS-DWORY,CHEMOSERVIS-DWORY SPÓŁKA AKCYJNA,CHS (CHEMOS),GPW: Usługi inne
80,CIECH,CIECH SPÓŁKA AKCYJNA,CIE (CIECH),GPW: Przemysł chemiczny
81,CI-GAMES,CI GAMES SPÓŁKA AKCYJNA,CIG (CIGAMES),GPW: Informatyka
82,COAL-ENERGY,COAL ENERGY S.A.,CLE (COALENERG),GPW: Przemysł surowcowy
83,CLNPHARMA,CELON PHARMA SPÓŁKA AKCYJNA,CLN (CLNPHARMA),GPW: Przemysł farmaceutyczny
84,COMP,COMP SPÓŁKA AKCYJNA,CMP (COMP),GPW: Informatyka
85,COMARCH,COMARCH SPÓŁKA AKCYJNA,CMR (COMARCH),GPW: Informatyka
