,Skrot,Nazwa,Druga,Sektor
222,KRKA,KRKA. TOVARNA ZDRAVIL. D.D.. NOVO MESTO,KRK (KRKA),GPW: Przemysł farmaceutyczny
223,KRUK,KRUK SPÓŁKA AKCYJNA,KRU (KRUK),GPW: Finanse inne
224,KSG-AGRO,KSG AGRO S.A.,KSG (KSGAGRO),GPW: Przemysł spożywczy
225,KONSORCJUM-STALI,KONSORCJUM STALI SPÓŁKA AKCYJNA,KST (KONSSTALI),GPW: Handel hurtowy
226,KRUSZWICA,ZAKŁADY TŁUSZCZOWE KRUSZWICA SPÓŁKA AKCYJNA,KSW (KRUSZWICA),GPW: Przemysł spożywczy
227,KETY,GRUPA KĘTY SPÓŁKA AKCYJNA,KTY (KETY),GPW: Przemysł metalowy
228,KVT,KRYNICA VITAMIN SPÓŁKA AKCYJNA,KVT (KRVITAMIN),GPW: Przemysł spożywczy
229,KREZUS,KREZUS SPÓŁKA AKCYJNA,KZS (KREZUS),GPW: Finanse inne
230,LABO-PRINT,LABO PRINT SPÓŁKA AKCYJNA,LAB (LABOPRINT),GPW: Usługi inne
231,LIBET,LIBET SPÓŁKA AKCYJNA,LBT (LIBET),GPW: Przemysł materiałów budowlanych
232,LUBAWA,LUBAWA SPÓŁKA AKCYJNA,LBW (LUBAWA),GPW: Przemysł lekki
233,LC-CORP,LC CORP SPÓŁKA AKCYJNA,LCC (LCCORP),GPW: Deweloperzy
234,LENA-LIGHTING,LENA LIGHTING SPÓŁKA AKCYJNA,LEN (LENA),GPW: Przemysł elektromaszynowy
235,LKD,LOKUM DEWELOPER SPÓŁKA AKCYJNA,LKD (LOKUM),GPW: Deweloperzy
236,LPP,LPP SPÓŁKA AKCYJNA,LPP,GPW: Handel detaliczny
237,LARK-PL,LARK.PL SPÓŁKA AKCYJNA,LRK (LARK),GPW: Informatyka
238,CAM-MEDIA,LARQ SPÓŁKA AKCYJNA,LRQ (LARQ),GPW: Usługi inne
239,LSI-SOFTWARE,LSI SOFTWARE SPÓŁKA AKCYJNA,LSI (LSISOFT),GPW: Informatyka
240,LOTOS,GRUPA LOTOS SPÓŁKA AKCYJNA,LTS (LOTOS),GPW: Przemysł paliwowy
241,LENTEX,LENTEX SPÓŁKA AKCYJNA,LTX (LENTEX),GPW: Przemysł materiałów budowlanych
242,LIVECHAT,LIVECHAT SOFTWARE SPÓŁKA AKCYJNA,LVC (LIVECHAT),GPW: Informatyka
243,BOGDANKA,LUBELSKI WĘGIEL BOGDANKA SPÓŁKA AKCYJNA,LWB (BOGDANKA),GPW: Przemysł surowcowy
244,MABION,MABION SPÓŁKA AKCYJNA,MAB (MABION),GPW: Przemysł farmaceutyczny
245,MAKARONY-POLSKIE,MAKARONY POLSKIE SPÓŁKA AKCYJNA,MAK (MAKARONPL),GPW: Przemysł spożywczy
246,MBANK,MBANK SPÓŁKA AKCYJNA,MBK (MBANK),GPW: Banki
247,MBR,MO-BRUK SPÓŁKA AKCYJNA,MBR (MOBRUK),GPW: Przemysł inne
248,MBW,MARIE BRIZARD WINE &amp;amp; SPIRITS,MBW (MBWS),GPW: Przemysł spożywczy
249,MCI,MCI CAPITAL SPÓŁKA AKCYJNA,MCI,GPW: Finanse inne
250,MEDIACAP,MEDIACAP SPÓŁKA AKCYJNA,MCP (MEDIACAP),GPW: Media
251,MERCOR,MERCOR SPÓŁKA AKCYJNA,MCR (MERCOR),GPW: Przemysł materiałów budowlanych
252,MEDICALGORITHMICS,MEDICALGORITHMICS SPÓŁKA AKCYJNA,MDG (MEDICALG),GPW: Informatyka
253,MDI,MDI ENERGIA SPÓŁKA AKCYJNA,MDI (MDIENERGIA),GPW: Budownictwo
254,MEGARON,MEGARON SPÓŁKA AKCYJNA,MEG (MEGARON),GPW: Przemysł materiałów budowlanych
255,MEX-POLSKA,MEX POLSKA SPÓŁKA AKCYJNA,MEX (MEXPOLSKA),GPW: Hotele i restauracje
256,MFO,MFO SPÓŁKA AKCYJNA,MFO,GPW: Przemysł materiałów budowlanych
257,MGT,MANGATA HOLDING SPÓŁKA AKCYJNA,MGT (MANGATA),GPW: Przemysł metalowy
258,BANK-MILLENNIUM,BANK MILLENNIUM SPÓŁKA AKCYJNA,MIL (MILLENNIUM),GPW: Banki
259,MIRACULUM,MIRACULUM SPÓŁKA AKCYJNA,MIR (MIRACULUM),GPW: Przemysł farmaceutyczny
260,MLP-GROUP,MLP GROUP SPÓŁKA AKCYJNA,MLG (MLPGROUP),GPW: Deweloperzy
261,MILKILAND,MILKILAND N.V.,MLK (MILKILAND),GPW: Przemysł spożywczy
262,MLS,ML SYSTEM SPÓŁKA AKCYJNA,MLS (MLSYSTEM),GPW: Energetyka
263,MENNICA-POLSKA,MENNICA POLSKA SPÓŁKA AKCYJNA,MNC (MENNICA),GPW: Przemysł metalowy
264,MOJ,MOJ SPÓŁKA AKCYJNA,MOJ,GPW: Przemysł elektromaszynowy
265,MOL-MAGYAR-OLAJ,MOL MAGYAR OLAJ - ES GAZIPARI NYILVANOSAN MUKODO RESZVENYTARSASAG,MOL,GPW: Przemysł paliwowy
266,MONNARI-TRADE,MONNARI TRADE SPÓŁKA AKCYJNA,MON (MONNARI),GPW: Handel detaliczny
267,MPH,MASTER PHARM SPÓŁKA AKCYJNA,MPH (MASTERPHA),GPW: Przemysł farmaceutyczny
268,MIRBUD,MIRBUD SPÓŁKA AKCYJNA,MRB (MIRBUD),GPW: Budownictwo
269,MERCATOR,MERCATOR MEDICAL SPÓŁKA AKCYJNA,MRC (MERCATOR),GPW: Przemysł chemiczny
270,MOSTOSTAL-PLOCK,MOSTOSTAL PŁOCK SPÓŁKA AKCYJNA,MSP (MOSTALPLC),GPW: Budownictwo
271,MOSTOSTAL-WARSZAWA,MOSTOSTAL WARSZAWA SPÓŁKA AKCYJNA,MSW (MOSTALWAR),GPW: Budownictwo
272,MOSTOSTAL-ZABRZE,MOSTOSTAL ZABRZE SPÓŁKA AKCYJNA,MSZ (MOSTALZAB),GPW: Budownictwo
273,MEDIATEL,MEDIATEL SPÓŁKA AKCYJNA,MTL (MEDIATEL),GPW: Telekomunikacja
274,MVP,MARVIPOL DEVELOPMENT SPÓŁKA AKCYJNA,MVP (MARVIPOL),GPW: Deweloperzy
275,MW-TRADE,M.W. TRADE SPÓŁKA AKCYJNA,MWT (MWTRADE),GPW: Finanse inne
276,MXC,MAXCOM SPÓŁKA AKCYJNA,MXC (MAXCOM),GPW: Telekomunikacja
277,MUZA,MUZA SPÓŁKA AKCYJNA,MZA (MUZA),GPW: Media
278,MZN,MZN PROPERTY SPÓŁKA AKCYJNA,MZN (MORIZON),GPW: Media
279,NCT,NORTH COAST SPÓŁKA AKCYJNA,NCT (NORTCOAST),GPW: Handel hurtowy
280,NETMEDIA,NETMEDIA SPÓŁKA AKCYJNA,NEM (NETMEDIA),GPW: Usługi inne
281,NETIA,NETIA SPÓŁKA AKCYJNA,NET (NETIA),GPW: Telekomunikacja
282,NEUCA,NEUCA SPÓŁKA AKCYJNA,NEU (NEUCA),GPW: Handel hurtowy
283,NNG,NANOGROUP SPÓŁKA AKCYJNA,NNG (NANOGROUP),GPW: Usługi inne
284,NTT,NTT SYSTEM SPÓŁKA AKCYJNA,NTT (NTTSYSTEM),GPW: Informatyka
285,NTU,AB NOVATURAS,NTU (NOVATURAS),GPW: Hotele i restauracje
286,PANOVA,P.A. NOVA SPÓŁKA AKCYJNA,NVA (PANOVA),GPW: Budownictwo
287,NOVITA,NOVITA SPÓŁKA AKCYJNA,NVT (NOVITA),GPW: Przemysł lekki
288,NEWAG,NEWAG SPÓŁKA AKCYJNA,NWG (NEWAG),GPW: Przemysł elektromaszynowy
289,NWR-NEW-WORLD-RESOURCES,NEW WORLD RESOURCES PLC,NWR (NEWWORLDR),GPW: Przemysł surowcowy
290,OAT,ONCOARENDI THERAPEUTICS SPÓŁKA AKCYJNA,OAT,GPW: Przemysł farmaceutyczny
291,ORZEL-BIALY,ORZEŁ BIAŁY SPÓŁKA AKCYJNA,OBL (ORZBIALY),GPW: Przemysł metalowy
292,ODLEWNIE-POLSKIE,ODLEWNIE POLSKIE SPÓŁKA AKCYJNA,ODL (ODLEWNIE),GPW: Przemysł metalowy
293,OEX,OEX SPÓŁKA AKCYJNA,OEX,GPW: Usługi inne
294,OPEN-FINANCE,OPEN FINANCE SPÓŁKA AKCYJNA,OPF (OPENFIN),GPW: Finanse inne
295,ORCO-PROPERTY,ORCO PROPERTY GROUP SA,OPG (ORCOGROUP),GPW: Deweloperzy
296,ORANGE,ORANGE POLSKA SPÓŁKA AKCYJNA,OPL (ORANGEPL),GPW: Telekomunikacja
297,OPTEAM,OPTEAM SPÓŁKA AKCYJNA,OPM (OPTEAM),GPW: Informatyka
298,OPONEO-PL,OPONEO.PL SPÓŁKA AKCYJNA,OPN (OPONEO.PL),GPW: Handel detaliczny
299,ORBIS,ORBIS SPÓŁKA AKCYJNA,ORB (ORBIS),GPW: Hotele i restauracje
300,ORION-INVESTMENT,ORION INVESTMENT SPÓŁKA AKCYJNA,ORN (ORION),GPW: Deweloperzy
301,OTMUCHOW,ZAKŁADY PRZEMYSŁU CUKIERNICZEGO OTMUCHÓW SPÓŁKA AKCYJNA,OTM (OTMUCHOW),GPW: Przemysł spożywczy
302,OT-LOGISTICS,OT LOGISTICS SPÓŁKA AKCYJNA,OTS (OTLOG),GPW: Usługi inne
303,OVOSTAR,OVOSTAR UNION N.V.,OVO (OVOSTAR),GPW: Przemysł spożywczy
304,PATENTUS,PATENTUS SPÓŁKA AKCYJNA,PAT (PATENTUS),GPW: Przemysł elektromaszynowy
305,PBS-FINANSE,PBS FINANSE SPÓŁKA AKCYJNA,PBF (PBSFINANSE),GPW: Finanse inne
306,PBG,PBG SPÓŁKA AKCYJNA,PBG,GPW: Budownictwo
307,PEKABEX,POZNAŃSKA KORPORACJA BUDOWLANA PEKABEX SPÓŁKA AKCYJNA,PBX (PEKABEX),GPW: Przemysł materiałów budowlanych
308,POLICE,GRUPA AZOTY ZAKŁADY CHEMICZNE POLICE SPÓŁKA AKCYJNA,PCE (POLICE),GPW: Przemysł chemiczny
309,PC-GUARD,PC GUARD SPÓŁKA AKCYJNA,PCG (PCGUARD),GPW: Informatyka
310,PRIME-CAR-MANAGEMENT,PRIME CAR MANAGEMENT SPÓŁKA AKCYJNA,PCM,GPW: Finanse inne
311,ROKITA,PCC ROKITA SPÓŁKA AKCYJNA,PCR (PCCROKITA),GPW: Przemysł chemiczny
312,PCC-EXOL,PCC EXOL SPÓŁKA AKCYJNA,PCX (PCCEXOL),GPW: Przemysł chemiczny
313,PRAIRIE-MINING-LIMITED,PRAIRIE MINING LIMITED,PDZ (PRAIRIE),GPW: Przemysł surowcowy
314,PEM,PRIVATE EQUITY MANAGERS SPÓŁKA AKCYJNA,PEM (PEMANAGER),GPW: Finanse inne
315,PEKAO,BANK POLSKA KASA OPIEKI SPÓŁKA AKCYJNA,PEO (PEKAO),GPW: Banki
316,POLENERGIA,POLENERGIA SPÓŁKA AKCYJNA,PEP,GPW: Energetyka
317,PEIXIN,PEIXIN INTERNATIONAL GROUP N.V.,PEX (PEIXIN),GPW: Przemysł elektromaszynowy
318,PFLEIDERER-GRAJEWO,PFLEIDERER GROUP SPÓŁKA AKCYJNA,PFL (PFLEIDER),GPW: Przemysł drzewny
319,PGE,PGE POLSKA GRUPA ENERGETYCZNA SPÓŁKA AKCYJNA,PGE,GPW: Energetyka
320,POINT-GROUP,PMPG POLSKIE MEDIA SPÓŁKA AKCYJNA,PGM (PMPG),GPW: Media
321,PGNIG,POLSKIE GÓRNICTWO NAFTOWE I GAZOWNICTWO SPÓŁKA AKCYJNA,PGN (PGNIG),GPW: Przemysł paliwowy
322,POLSKA-GRUPA-ODLEWNICZA,PGO SPÓŁKA AKCYJNA,PGO,GPW: Przemysł metalowy
323,POLSKI-HOLDING-NIERUCHOMOSCI,POLSKI HOLDING NIERUCHOMOŚCI SPÓŁKA AKCYJNA,PHN,GPW: Deweloperzy
324,PLATYNOWE-INWESTYCJE,PLATYNOWE INWESTYCJE SPÓŁKA AKCYJNA,PIW (PLATYNINW),GPW: Usługi inne
325,PROJPRZEM,PROJPRZEM MAKRUM SPÓŁKA AKCYJNA,PJP (PROJPRZEM),GPW: Budownictwo
326,PKN-ORLEN,POLSKI KONCERN NAFTOWY ORLEN SPÓŁKA AKCYJNA,PKN (PKNORLEN),GPW: Przemysł paliwowy
327,PKO,POWSZECHNA KASA OSZCZĘDNOŚCI BANK POLSKI SPÓŁKA AKCYJNA,PKO (PKOBP),GPW: Banki
328,PKPCARGO,PKP CARGO SPÓŁKA AKCYJNA,PKP (PKPCARGO),GPW: Usługi inne
329,PLAYWAY,PLAYWAY SPÓŁKA AKCYJNA,PLW (PLAYWAY),GPW: Informatyka
330,PLAST-BOX,PRZETWÓRSTWO TWORZYW SZTUCZNYCH PLAST-BOX SPÓŁKA AKCYJNA,PLX (PLASTBOX),GPW: Przemysł tworzyw sztucznych
331,PLY,PLAY COMMUNICATIONS SPÓŁKA AKCYJNA,PLY (PLAY),GPW: Telekomunikacja
332,PLAZACNTR,PLAZA CENTERS N.V.,PLZ (PLAZACNTR),GPW: Deweloperzy
333,PRIMA-MODA,PRIMA MODA SPÓŁKA AKCYJNA,PMA (PRIMAMODA),GPW: Handel detaliczny
334,PEMUG,PEMUG SPÓŁKA AKCYJNA,PMG (PEMUG),GPW: Budownictwo
335,PAMAPOL,PAMAPOL SPÓŁKA AKCYJNA,PMP (PAMAPOL),GPW: Przemysł spożywczy
336,POLNORD,POLNORD SPÓŁKA AKCYJNA,PND (POLNORD),GPW: Deweloperzy
337,POZBUD,POZBUD T&amp;amp;R SPÓŁKA AKCYJNA,POZ (POZBUD),GPW: Przemysł materiałów budowlanych
338,PEPEES,PRZEDSIĘBIORSTWO PRZEMYSŁU SPOŻYWCZEGO PEPEES SPÓŁKA AKCYJNA,PPS (PEPEES),GPW: Przemysł spożywczy
339,PROCAD,PROCAD SPÓŁKA AKCYJNA,PRD (PROCAD),GPW: Informatyka
340,PRAGMA-FAKTORING,PRAGMA FAKTORING SPÓŁKA AKCYJNA,PRF (PRAGMAFA),GPW: Finanse inne
341,PRAGMA-INKASO,PRAGMA INKASO SPÓŁKA AKCYJNA,PRI (PRAGMAINK),GPW: Finanse inne
342,PROCHEM,PROCHEM SPÓŁKA AKCYJNA,PRM (PROCHEM),GPW: Budownictwo
343,PROTEKTOR,PROTEKTOR SPÓŁKA AKCYJNA,PRT (PROTEKTOR),GPW: Przemysł lekki
344,PGS-SOFTWARE,PGS SOFTWARE SPÓŁKA AKCYJNA,PSW (PGSSOFT),GPW: Informatyka
345,PRIMETECH,PRIMETECH SPÓŁKA AKCYJNA,PTH (PRIMETECH),GPW: Przemysł elektromaszynowy
346,ZPUE,ZPUE SPÓŁKA AKCYJNA,PUE (ZPUE),GPW: Przemysł elektromaszynowy
347,POLWAX,POLWAX SPÓŁKA AKCYJNA,PWX (POLWAX),GPW: Przemysł chemiczny
348,POLIMEX,POLIMEX - MOSTOSTAL SPÓŁKA AKCYJNA,PXM (POLIMEXMS),GPW: Budownictwo
349,PZU,POWSZECHNY ZAKŁAD UBEZPIECZEŃ SPÓŁKA AKCYJNA,PZU,GPW: Ubezpieczenia
350,QUMAK,QUMAK SPÓŁKA AKCYJNA,QMK (QUMAK),GPW: Informatyka
351,QUANTUM-SOFTWARE,QUANTUM SOFTWARE SPÓŁKA AKCYJNA,QNT (QUANTUM),GPW: Informatyka
352,QUERCUS,QUERCUS TOWARZYSTWO FUNDUSZY INWESTYCYJNYCH SPÓŁKA AKCYJNA,QRS (QUERCUS),GPW: Rynek kapitałowy
353,R22,R22 SPÓŁKA AKCYJNA,R22,GPW: Informatyka
354,RAFAMET,FABRYKA OBRABIAREK RAFAMET SPÓŁKA AKCYJNA,RAF (RAFAMET),GPW: Przemysł elektromaszynowy
355,RUBICON-PARTNERS,RUBICON PARTNERS SPÓŁKA AKCYJNA,RBC (RUBICON),GPW: Finanse inne
356,RAINBOW-TOURS,RAINBOW TOURS SPÓŁKA AKCYJNA,RBW (RAINBOW),GPW: Hotele i restauracje
357,RADPOL,RADPOL SPÓŁKA AKCYJNA,RDL (RADPOL),GPW: Przemysł tworzyw sztucznych
358,REDAN,REDAN SPÓŁKA AKCYJNA,RDN (REDAN),GPW: Handel detaliczny
359,REGNON,REGNON SPÓŁKA AKCYJNA,REG (REGNON),GPW: Usługi inne
360,RES,RESBUD SE,RES (RESBUD),GPW: Budownictwo
361,RAFAKO,RAFAKO SPÓŁKA AKCYJNA,RFK (RAFAKO),GPW: Przemysł elektromaszynowy
362,REINHOLD,REINHOLD EUROPE AB,RHD (REINHOLD),GPW: Deweloperzy
363,RELPOL,RELPOL SPÓŁKA AKCYJNA,RLP (RELPOL),GPW: Przemysł elektromaszynowy
364,REMAK,PRZEDSIĘBIORSTWO MODERNIZACJI URZĄDZEŃ ENERGETYCZNYCH REMAK SPÓŁKA AKCYJNA,RMK (REMAK),GPW: Przemysł elektromaszynowy
365,RNC,REINO CAPITAL SPÓŁKA AKCYJNA,RNC (REINO),GPW: Rynek kapitałowy
366,RANK-PROGRESS,RANK PROGRESS SPÓŁKA AKCYJNA,RNK (RANKPROGR),GPW: Deweloperzy
367,RONSON,RONSON EUROPE N.V.,RON (RONSON),GPW: Deweloperzy
368,ROPCZYCE,ZAKŁADY MAGNEZYTOWE ROPCZYCE SPÓŁKA AKCYJNA,RPC (ROPCZYCE),GPW: Przemysł materiałów budowlanych
369,REDWOOD-HOLDING,REDWOOD HOLDING SPÓŁKA AKCYJNA,RWD (REDWOOD),GPW: Przemysł metalowy
370,RAWLPLUG,RAWLPLUG SPÓŁKA AKCYJNA,RWL (RAWLPLUG),GPW: Przemysł metalowy
371,SANTANDER,BANCO SANTANDER S.A.,SAN (SANTANDER),GPW: Banki
372,SARE,SARE SPÓŁKA AKCYJNA,SAR (SARE),GPW: Informatyka
373,SCO-PAK,SCO-PAK SPÓŁKA AKCYJNA,SCO (SCOPAK),GPW: Usługi inne
374,SEKO,SEKO SPÓŁKA AKCYJNA,SEK (SEKO),GPW: Przemysł spożywczy
375,SELENA-FM,SELENA FM SPÓŁKA AKCYJNA,SEL (SELENAFM),GPW: Przemysł materiałów budowlanych
376,SEN,SERINUS ENERGY INC.,SEN (SERINUS),GPW: Przemysł paliwowy
377,SESCOM,SESCOM SPÓŁKA AKCYJNA,SES (SESCOM),GPW: Usługi inne
378,SETANTA-FINANCE,SETANTA SPÓŁKA AKCYJNA,SET (SETANTA),GPW: Finanse inne
379,AS-SILVANO-FASHION,AS SILVANO FASHION GROUP,SFG (SILVANO),GPW: Handel detaliczny
380,SFINKS,SFINKS POLSKA SPÓŁKA AKCYJNA,SFS (SFINKS),GPW: Hotele i restauracje
381,SYGNITY,SYGNITY SPÓŁKA AKCYJNA,SGN (SYGNITY),GPW: Informatyka
382,SADOVAYA,SADOVAYA GROUP S.A.,SGR (SADOVAYA),GPW: Przemysł surowcowy
383,SOHO-DEVELOPMENT,SOHO DEVELOPMENT SPÓŁKA AKCYJNA,SHD (SOHODEV),GPW: Deweloperzy
384,STARHEDGE,STARHEDGE SPÓŁKA AKCYJNA,SHG (STARHEDGE),GPW: Finanse inne
385,SNIEZKA,FABRYKA FARB I LAKIERÓW ŚNIEŻKA SPÓŁKA AKCYJNA,SKA (SNIEZKA),GPW: Przemysł materiałów budowlanych
386,SKARBIEC-HOLDING,SKARBIEC HOLDING SPÓLKA AKCYJNA,SKH (SKARBIEC),GPW: Rynek kapitałowy
387,SKYLINE-INVESTMENT,SKYLINE INVESTMENT SPÓŁKA AKCYJNA,SKL (SKYLINE),GPW: Finanse inne
388,SKOTAN,SKOTAN SPÓŁKA AKCYJNA,SKT (SKOTAN),GPW: Przemysł lekki
389,SELVITA,SELVITA SPÓŁKA AKCYJNA,SLV (SELVITA),GPW: Przemysł farmaceutyczny
390,SLZ,SLEEPZ AG,SLZ (SLEEPZAG),GPW: Handel detaliczny
391,SIMPLE,SIMPLE SPÓŁKA AKCYJNA,SME (SIMPLE),GPW: Informatyka
392,STOMIL-SANOK,SANOK RUBBER COMPANY SPÓŁKA AKCYJNA,SNK (SANOK),GPW: Przemysł motoryzacyjny
393,SYNEKTIK,SYNEKTIK SPÓŁKA AKCYJNA,SNT (SYNEKTIK),GPW: Przemysł farmaceutyczny
394,SANWIL-HOLDING,SANWIL HOLDING SPÓŁKA AKCYJNA,SNW (SANWIL),GPW: Przemysł lekki
395,SUNEX,SUNEX SPÓŁKA AKCYJNA,SNX (SUNEX),GPW: Przemysł elektromaszynowy
396,SOLAR-COMPANY,SOLAR COMPANY SPÓŁKA AKCYJNA,SOL (SOLAR),GPW: Handel detaliczny
397,SONEL,SONEL SPÓŁKA AKCYJNA,SON (SONEL),GPW: Przemysł elektromaszynowy
398,SOPHARMA,SOPHARMA AD,SPH (SOPHARMA),GPW: Przemysł farmaceutyczny
399,SPL,SANTANDER BANK POLSKA SPÓŁKA AKCYJNA,SPL (SANPL),GPW: Banki
400,STALPROFIL,STALPROFIL SPÓŁKA AKCYJNA,STF (STALPROFI),GPW: Handel hurtowy
401,STELMET,STELMET SPÓŁKA AKCYJNA,STL (STELMET),GPW: Przemysł drzewny
402,STALPRODUKT,STALPRODUKT SPÓŁKA AKCYJNA,STP (STALPROD),GPW: Przemysł metalowy
403,STALEXPORT-AUTOSTRADY,STALEXPORT AUTOSTRADY SPÓŁKA AKCYJNA,STX (STALEXP),GPW: Usługi inne
404,SUWARY,SUWARY SPÓŁKA AKCYJNA,SUW (SUWARY),GPW: Przemysł tworzyw sztucznych
405,SVRS,"SILVAIR, INC.",SVRS (SILVAIR-REGS),GPW: Informatyka
406,SWISSMED-CENTRUM-ZDROWIA,SWISSMED CENTRUM ZDROWIA SPÓŁKA AKCYJNA,SWD (SWISSMED),GPW: Usługi inne
407,SECO-WARWICK,SECO/WARWICK SPÓŁKA AKCYJNA,SWG (SECOGROUP),GPW: Przemysł elektromaszynowy
408,TARCZYNSKI,TARCZYŃSKI SPÓŁKA AKCYJNA,TAR (TARCZYNSKI),GPW: Przemysł spożywczy
409,TBL,T-BULL SPÓŁKA AKCYJNA,TBL (TBULL),GPW: Informatyka
410,TEN,TEN SQUARE GAMES SPÓŁKA AKCYJNA,TEN (TSGAMES),GPW: Informatyka
411,TIM,TIM SPÓŁKA AKCYJNA,TIM,GPW: Handel hurtowy
412,TALEX,TALEX SPÓŁKA AKCYJNA,TLX (TALEX),GPW: Informatyka
413,TATRY-MOUNTAIN-RESORTS,TATRY MOUNTAIN RESORTS. A.S.,TMR (TATRY),GPW: Hotele i restauracje
414,TNX,TALANX AKTIENGESELLSCHAFT,TNX (TALANX),GPW: Ubezpieczenia
415,TOYA,TOYA SPÓŁKA AKCYJNA,TOA (TOYA),GPW: Handel hurtowy
416,TORPOL,TORPOL SPÓŁKA AKCYJNA,TOR (TORPOL),GPW: Budownictwo
417,TOWERINV,TOWER INVESTMENTS SPÓŁKA AKCYJNA,TOW (TOWERINVT),GPW: Deweloperzy
418,TAURON,TAURON POLSKA ENERGIA SPÓŁKA AKCYJNA,TPE (TAURONPE),GPW: Energetyka
419,TRITON-DEVELOPMENT,TRITON DEVELOPMENT SPÓŁKA AKCYJNA,TRI (TRITON),GPW: Deweloperzy
420,TRAKCJA,TRAKCJA PRKII SPÓŁKA AKCYJNA,TRK (TRAKCJA),GPW: Budownictwo
421,TRANS-POLONIA,TRANS POLONIA SPÓŁKA AKCYJNA,TRN (TRANSPOL),GPW: Usługi inne
422,TERMO-REX,TERMO-REX SPÓŁKA AKCYJNA,TRR (TERMOREX),GPW: Przemysł metalowy
423,TESGAS,TESGAS SPÓŁKA AKCYJNA,TSG (TESGAS),GPW: Budownictwo
424,TXM,TXM SPÓŁKA AKCYJNA,TXM,GPW: Handel detaliczny
425,UNIMA-2000,UNIMA 2000 SYSTEMY TELEINFORMATYCZNE SPÓŁKA AKCYJNA,U2K (UNIMA),GPW: Informatyka
426,UNICREDIT,UNICREDIT S.P.A.,UCG (UNICREDIT),GPW: Banki
427,ULMA-CONSTRUCCION,ULMA CONSTRUCCION POLSKA SPÓŁKA AKCYJNA,ULM (ULMA),GPW: Przemysł materiałów budowlanych
428,UNIBEP,UNIBEP SPÓŁKA AKCYJNA,UNI (UNIBEP),GPW: Budownictwo
429,UNIMOT-GAZ,UNIMOT SPÓŁKA AKCYJNA,UNT (UNIMOT),GPW: Handel hurtowy
430,URSUS,URSUS SPÓŁKA AKCYJNA,URS (URSUS),GPW: Przemysł elektromaszynowy
431,VIGO-SYSTEM,VIGO SYSTEM SPÓŁKA AKCYJNA,VGO (VIGOSYS),GPW: Przemysł elektromaszynowy
432,VINDEXUS,GIEŁDA PRAW MAJĄTKOWYCH VINDEXUS SPÓŁKA AKCYJNA,VIN (VINDEXUS),GPW: Finanse inne
433,VOTUM,VOTUM SPÓŁKA AKCYJNA,VOT (VOTUM),GPW: Finanse inne
434,VOXEL,VOXEL SPÓŁKA AKCYJNA,VOX (VOXEL),GPW: Usługi inne
435,VISTULA,VISTULA RETAIL GROUP SPÓŁKA AKCYJNA,VST (VISTULA),GPW: Handel detaliczny
436,VANTAGE-DEVELOPMENT,VANTAGE DEVELOPMENT SPÓŁKA AKCYJNA,VTG (VANTAGE),GPW: Deweloperzy
437,VENTURE-INCUBATOR,VENTURE INCUBATOR SPÓŁKA AKCYJNA,VTI (VENTUREIN),GPW: Finanse inne
438,VISTAL,VISTAL GDYNIA SPÓŁKA AKCYJNA,VTL (VISTAL),GPW: Budownictwo
439,VIVID-GAMES,VIVID GAMES SPÓŁKA AKCYJNA,VVD (VIVID),GPW: Informatyka
440,WASKO,WASKO SPÓŁKA AKCYJNA,WAS (WASKO),GPW: Informatyka
441,WADEX,PRZEDSIĘBIORSTWO PRODUKCYJNO HANDLOWE WADEX SPÓŁKA AKCYJNA,WAX (WADEX),GPW: Przemysł metalowy
442,WIKANA,WIKANA SPÓŁKA AKCYJNA,WIK (WIKANA),GPW: Deweloperzy
443,WIS,BALTIC BRIDGE SPÓŁKA AKCYJNA,WIS (WINVEST),GPW: Finanse inne
444,WILBO,WILBO SPÓŁKA AKCYJNA,WLB (WILBO),GPW: Przemysł spożywczy
445,WIELTON,WIELTON SPÓŁKA AKCYJNA,WLT (WIELTON),GPW: Przemysł motoryzacyjny
446,WOJAS,WOJAS SPÓŁKA AKCYJNA,WOJ (WOJAS),GPW: Handel detaliczny
447,WIRTUALNA-POLSKA,WIRTUALNA POLSKA HOLDING SPÓŁKA AKCYJNA,WPL (WIRTUALNA),GPW: Media
448,WORK-SERVICE,WORK SERVICE SPÓŁKA AKCYJNA,WSE (WORKSERV),GPW: Usługi inne
449,WTN,WITTCHEN SPÓŁKA AKCYJNA,WTN (WITTCHEN),GPW: Handel detaliczny
450,WAWEL,WAWEL SPÓŁKA AKCYJNA,WWL (WAWEL),GPW: Przemysł spożywczy
451,WARIMPEX,WARIMPEX FINANZ- UND BETEILIGUNGS AG,WXF (WARIMPEX),GPW: Deweloperzy
452,XTB,X-TRADE BROKERS DOM MAKLERSKI SPÓŁKA AKCYJNA,XTB,GPW: Rynek kapitałowy
453,XTP,XTPL SPÓŁKA AKCYJNA,XTP (XTPL),GPW: Informatyka
454,YOLO,YOLO SPÓŁKA AKCYJNA,YOL (YOLO),GPW: Finanse inne
455,ZAKLADY-AZOTOWE-PULAWY,GRUPA AZOTY ZAKŁADY AZOTOWE PUŁAWY SPÓŁKA AKCYJNA,ZAP (PULAWY),GPW: Przemysł chemiczny
456,ZEPAK,ZESPÓŁ ELEKTROWNI PĄTNÓW-ADAMÓW-KONIN SPÓŁKA AKCYJNA,ZEP (ZEPAK),GPW: Energetyka
