,Skrot,Sektor
596,FOREVER-ENTERTAINMENT,NewConnect: Informatyka
597,FORPOSTA,NewConnect: Usługi inne
598,FTH,NewConnect: Usługi finansowe
599,FTI,NewConnect: Usługi finansowe
600,FITEN,NewConnect: Handel
601,GALVO,NewConnect: Technologie
602,GRUPAEMM,NewConnect: Nieruchomości
603,GENOMED,NewConnect: Ochrona zdrowia
604,GKS-GIEKSA-KATOWICE,NewConnect: Wypoczynek
605,GLG-PHARMA,NewConnect: Ochrona zdrowia
606,GME,NewConnect: Media
607,G-ENERGY,NewConnect: Eco-energia
608,GOLAB,NewConnect: Handel
609,GOV,NewConnect: Technologie
610,GPPI,NewConnect: Usługi finansowe
611,GRUPA-RECYKL,NewConnect: Recykling
612,GRE,NewConnect: Eco-energia
613,GREMPCO,NewConnect: Inwestycje
614,GO-TFI,NewConnect: Inwestycje
615,GEOTREKK,NewConnect: Media
616,GEO-TERM,NewConnect: Eco-energia
617,GTS,NewConnect: Recykling
618,GRUPA-TRINITY,NewConnect: Usługi finansowe
619,GWARANT,NewConnect: Usługi inne
620,HBG,NewConnect: Informatyka
621,HEFAL-SERWIS,NewConnect: Budownictwo
622,HM-INWEST,NewConnect: Nieruchomości
623,HORTICO,NewConnect: Handel
624,HOTBLOK,NewConnect: Budownictwo
625,HYDRAPRES,NewConnect: Technologie
626,GRUPA-HRC,NewConnect: Usługi inne
627,HRL,NewConnect: Usługi inne
628,HURTIMEX,NewConnect: Handel
629,IBC-POLSKA,NewConnect: Usługi inne
630,INCANA,NewConnect: Budownictwo
631,INTERCAPITAL-PROPERTY-DEVELOPMENT,NewConnect: Nieruchomości
632,ICE,NewConnect: Ochrona zdrowia
633,ICP-GROUP,NewConnect: Usługi inne
634,IDH,NewConnect: Technologie
635,IFUN4ALL,NewConnect: Informatyka
636,INFRA,NewConnect: Informatyka
637,INVESTMENT-FUND-MANAGERS,NewConnect: Usługi finansowe
638,INNO-GENE,NewConnect: Inwestycje
639,IGORIA-TRADE,NewConnect: Usługi finansowe
640,IMAGIS,NewConnect: Handel
641,INBOOK,NewConnect: e-handel
642,INVENTIONMED,NewConnect: Technologie
643,INS,NewConnect: Usługi finansowe
644,NTERNITY-SPOLKA,NewConnect: Budownictwo
645,INWESTYCJE-PL,NewConnect: Media
646,IPO-DORADZTWO-STRATEGICZNE,NewConnect: Usługi finansowe
647,ISG,NewConnect: Usługi inne
648,INFOSCAN,NewConnect: Ochrona zdrowia
649,INTELIWISE,NewConnect: Informatyka
650,INTERNET-UNION,NewConnect: Telekomunikacja
651,INVESTEKO,NewConnect: Eco-energia
652,JJB,NewConnect: Informatyka
653,JR-INVEST,NewConnect: Nieruchomości
654,JWA,NewConnect: Informatyka
655,KBJ,NewConnect: Informatyka
656,KOFAMA,NewConnect: Technologie
657,KLEBA-INVEST,NewConnect: Nieruchomości
658,KK-HERBAL-POLAND,NewConnect: Handel
659,KLON,NewConnect: Budownictwo
660,KANCELARIA-MEDIUS,NewConnect: Usługi finansowe
661,KORBANK,NewConnect: Telekomunikacja
662,KUPIEC,NewConnect: Usługi inne
663,KPI,NewConnect: Usługi finansowe
664,LANGLOO-COM-SPOLKA,NewConnect: Usługi inne
665,LOKATY-BUDOWLANE,NewConnect: Nieruchomości
666,LETUS-CAPITAL,NewConnect: Usługi finansowe
667,LOGINTRAD,NewConnect: Informatyka
668,LKS,NewConnect: Handel
669,LAUREN-PESO,NewConnect: Usługi inne
670,LSH,NewConnect: Technologie
671,LUG,NewConnect: Budownictwo
672,LUKARDI,NewConnect: Informatyka
673,M4B,NewConnect: Informatyka
674,MADKOM,NewConnect: Informatyka
675,MARSOFT,NewConnect: Telekomunikacja
676,MAXIMUS,NewConnect: Handel
677,MBF-GROUP,NewConnect: Informatyka
678,MODERNCOM,NewConnect: Usługi inne
679,MEDAPP,NewConnect: Media
680,MEDIAN-POLSKA,NewConnect: Handel
681,MEDCAMP,NewConnect: Nieruchomości
682,MERIT-INVEST,NewConnect: Usługi finansowe
683,MERA,NewConnect: Budownictwo
684,M-FOOD,NewConnect: Handel
685,MEGA-SONIC,NewConnect: Technologie
686,MGC,NewConnect: Ochrona zdrowia
687,MID,NewConnect: Usługi finansowe
688,MAKOLAB,NewConnect: Informatyka
689,MILKPOL,NewConnect: Handel
690,MALKOWSKI-MARTECH,NewConnect: Budownictwo
691,MM-CONFERENCES,NewConnect: Usługi inne
692,MILESTONE,NewConnect: Ochrona zdrowia
693,MOBIMEDIA,NewConnect: Media
694,MINERAL-MIDRANGE,NewConnect: Informatyka
695,MENNICA-SKARBOWA,NewConnect: e-handel
696,MINOX,NewConnect: Handel
697,MODE,NewConnect: Technologie
698,MOV,NewConnect: Informatyka
699,MPAY,NewConnect: Usługi finansowe
700,MRD,NewConnect: Wypoczynek
701,MRG,NewConnect: Media
702,MR-HAMBURGER,NewConnect: Wypoczynek
703,MARKA,NewConnect: Usługi finansowe
704,METROPOLIS,NewConnect: Ochrona zdrowia
705,MOTORICUS,NewConnect: Handel
706,MTS,NewConnect: Usługi inne
707,MAXIPIZZA,NewConnect: Wypoczynek
708,NOWOCZESNA-FIRMA,NewConnect: Media
709,NOVINA,NewConnect: Inwestycje
710,NST,NewConnect: Ochrona zdrowia
711,NOTORIA-SERWIS,NewConnect: Usługi inne
712,NETWISE,NewConnect: Informatyka
713,NOVAVIS,NewConnect: Eco-energia
714,NWAI-DOM-MAKLERSKI,NewConnect: Inwestycje
715,NXB,NewConnect: Usługi inne
716,OML,NewConnect: Ochrona zdrowia
717,ONICO,NewConnect: Handel
718,OPTIZEN-LABS,NewConnect: Media
719,ORGANIC-FARMA-ZDROWIA,NewConnect: Handel
720,ORZEL,NewConnect: Recykling
721,ORPHEE,NewConnect: Ochrona zdrowia
722,OUTDOORZY,NewConnect: Handel
723,PRESENT24,NewConnect: e-handel
724,PAS,NewConnect: Informatyka
725,PREFABET,NewConnect: Budownictwo
726,PBT,NewConnect: Informatyka
727,PHOTON,NewConnect: Eco-energia
728,PATENT-FUND,NewConnect: Wypoczynek
729,PERMA-FIX-MEDICAL,NewConnect: Usługi finansowe
730,PHIWIERZY,NewConnect: Usługi finansowe
731,PHARMENA,NewConnect: Ochrona zdrowia
732,PIG,NewConnect: Informatyka
733,PIK,NewConnect: Handel
734,PROPERTYF,NewConnect: Usługi inne
735,PLG,NewConnect: Handel
736,PLATIGE-IMAGE,NewConnect: Media
737,POLMAN,NewConnect: Recykling
738,POLMT,NewConnect: Handel
739,PMF,NewConnect: Handel
740,PRIME-MINERALS,NewConnect: Usługi finansowe
741,PNT,NewConnect: Usługi inne
742,PRO-LOG,NewConnect: Usługi inne
743,PARTNER-NIERUCHOMOSCI,NewConnect: Nieruchomości
744,APN-PROMISE,NewConnect: Handel
745,PRYMUS,NewConnect: Handel
746,PLASMA-SYSTEM,NewConnect: Technologie
747,PRESTO,NewConnect: Recykling
748,PTE,NewConnect: Usługi inne
749,POLTRONIC,NewConnect: Handel
750,PTWP,NewConnect: Media
751,PUR,NewConnect: Ochrona zdrowia
752,PYLON,NewConnect: Technologie
753,QON,NewConnect: Informatyka
754,QUART-DEVELOPMENT,NewConnect: Nieruchomości
755,QUBICGMS,NewConnect: Informatyka
756,ROBINSON-EUROPE,NewConnect: Handel
757,ROCCA,NewConnect: Budownictwo
758,RUCH-CHORZOW,NewConnect: Wypoczynek
759,READ-GENE,NewConnect: Technologie
760,REMEDIS,NewConnect: Usługi finansowe
761,ROVITA-SPOLKA,NewConnect: Handel
762,RSP,NewConnect: Eco-energia
763,RSY,NewConnect: Technologie
764,S4E,NewConnect: Technologie
765,SOFTBLUE,NewConnect: Technologie
766,SCP,NewConnect: Ochrona zdrowia
767,STEM-CELLS-SPIN,NewConnect: Ochrona zdrowia
768,SEVENET,NewConnect: Informatyka
769,SFD,NewConnect: e-handel
770,POLKAP,NewConnect: Handel
771,SFERANET,NewConnect: Telekomunikacja
772,SAKANA,NewConnect: Wypoczynek
773,SLK,NewConnect: Nieruchomości
774,SMS-KREDYT-HOLDING,NewConnect: Usługi finansowe
775,SNG,NewConnect: Inwestycje
776,SP1,NewConnect: Inwestycje
777,SPARKVC,NewConnect: Media
778,SURFLAND,NewConnect: Informatyka
779,STANDREW,NewConnect: Technologie
780,STOPKLATKA,NewConnect: Media
781,STO,NewConnect: Handel
782,SUMMA-LINGUAE,NewConnect: Usługi inne
783,SUNTECH,NewConnect: Informatyka
784,SYMBIO-POLSKA,NewConnect: Handel
785,SZAR,NewConnect: Handel
786,TERMO2PWR,NewConnect: Eco-energia
787,TECHMADEX,NewConnect: Technologie
788,THD,NewConnect: Informatyka
789,TECHINVGR,NewConnect: Usługi finansowe
790,TELGAM,NewConnect: Telekomunikacja
791,TLH,NewConnect: Usługi finansowe
792,TELESTO,NewConnect: Recykling
793,TELESTRADA,NewConnect: Telekomunikacja
794,TELIANI-VALLEY,NewConnect: Handel
795,TERMOEXPERT,NewConnect: Budownictwo
796,TELEMEDYCYNA,NewConnect: Ochrona zdrowia
797,TAMEX,NewConnect: Budownictwo
798,TAX-NET,NewConnect: Usługi finansowe
799,ARTP-CAPITAL,NewConnect: Media
800,UFC,NewConnect: Informatyka
801,ULG,NewConnect: Informatyka
802,UNITED,NewConnect: Usługi inne
803,VAB,NewConnect: Usługi inne
804,VAR,NewConnect: Informatyka
805,VENTURE-CAPITAL-POLAND,NewConnect: Inwestycje
806,VIDIS,NewConnect: Handel
807,MPL-VERBUM,NewConnect: Usługi inne
808,VIATRON,NewConnect: Usługi inne
809,VIRTUAL-VISION,NewConnect: Media
810,VAKOMTEK,NewConnect: Handel
811,VOI,NewConnect: Informatyka
812,VERBICOM,NewConnect: Technologie
813,VTE,NewConnect: Usługi inne
814,WDB-BROKERZY-UBEZPIECZENIOWI,NewConnect: Usługi finansowe
815,WERTH-HOLZ,NewConnect: Budownictwo
816,WODKAN,NewConnect: Usługi inne
817,WEST-REAL-ESTATE,NewConnect: Nieruchomości
818,WIERZYCIEL,NewConnect: Usługi finansowe
819,WTF,NewConnect: Nieruchomości
820,XPLUS,NewConnect: Informatyka
821,NEPTIS,NewConnect: Informatyka
